time,price,size,brs,title,link,loc
2015-12-28 09:52:00,2497.0,,3.0,Sick 3 bed  No Fee  L train 1 block,/brk/abo/5344751377.html,brk
2015-12-28 09:52:00,3397.0,,3.0,Massive 3 Bed  2 Bath  JMZ,/brk/abo/5344747273.html,brk
2015-12-28 09:52:00,1960.0,,1.0,Short Term....Long Term....Month to Month....1960Mo 1 bed APT,/brk/abo/5374320677.html,brk
2015-12-28 09:52:00,3896.0,,4.0,Unique 4 bed with Bushwick Rooftop/Terrace  Wilson L,/brk/abo/5355321364.html,brk
2015-12-28 09:52:00,2597.0,,3.0,Awesome 3 Bed  Dishwasher and AC / L train,/brk/abo/5344761369.html,brk
2015-12-28 09:52:00,2374.0,,2.0, Myrtle Broad JMZ Epic Rooftop,/brk/abo/5347797582.html,brk
2015-12-28 09:52:00,1998.0,,2.0, Open Rooms  JMZ Bushwick,/brk/abo/5352234761.html,brk
2015-12-28 09:52:00,2197.0,,3.0,Sick 3 bed  Varrying Room Sizes  Big Living Room Though,/brk/abo/5355333365.html,brk
2015-12-28 09:51:00,3598.0,,4.0,JMZ Local with Backyard  4/2 bath,/brk/abo/5342186026.html,brk
2015-12-28 09:51:00,3024.0,,3.0,Myrtle JMZ,/brk/abo/5344802813.html,brk
2015-12-28 09:51:00,3298.0,,3.0,New BuildingParkingLaundry JMZ,/brk/abo/5342208250.html,brk
2015-12-28 09:51:00,3597.0,,4.0,4 Bed that will make your instagram look cool. L train,/brk/abo/5342220594.html,brk
2015-12-28 09:51:00,2998.0,,4.0,4 Bed  1 Office  L train Wilson,/brk/abo/5353065808.html,brk
2015-12-28 09:51:00,3350.0,,3.0,One Of A kind Duplex  2 Private decks  True Home ,/brk/abo/5364430256.html,brk
2015-12-28 09:51:00,3042.0,730.0,1.0,Amazing views in downtown Brooklyn luxury building  1 month free,/brk/abo/5368896339.html,brk
2015-12-28 09:51:00,3453.0,,2.0,Mins To PROSPECT PARK  BROOKLYN MUSEUM . Luxury Building . No Fee,/brk/abo/5377321373.html,brk
